R.U.T.,Entidad,"Seleccione: VigentesNo VigentesTodas"
96639280-0,"ADMINISTRADORA GENERAL DE FONDOS SECURITY S.A.",Vigente
76036521-1,"ADMINISTRADORA GENERAL DE FONDOS SURA S.A.",Vigente
77333224-K,"ALZA ADMINISTRADORA GENERAL DE FONDOS S.A.",Vigente
76503273-3,"AMERIS CAPITAL ADMINISTRADORA GENERAL DE FONDOS S.A.",Vigente
96960970-3,"AMICORP ADMINISTRADORA GENERAL DE FONDOS S.A.",Vigente
76172904-7,"ASSET ADMINISTRADORA GENERAL DE FONDOS S.A.",Vigente
77324967-9,"AVANTE ADMINISTRADORA GENERAL DE FONDOS S.A.",Vigente
96767630-6,"BANCHILE ADMINISTRADORA GENERAL DE FONDOS S.A.",Vigente
76930984-5,"BANCO INTERNACIONAL ADMINISTRADORA GENERAL DE FONDOS S.A.",Vigente
96836390-5,"BANCOESTADO S.A. ADMINISTRADORA GENERAL DE FONDOS",Vigente
96530900-4,"BCI ASSET MANAGEMENT ADMINISTRADORA GENERAL DE FONDOS S.A.",Vigente
96514410-2,"BICE INVERSIONES ADMINISTRADORA GENERAL DE FONDOS S.A.",Vigente
96966250-7,"BTG PACTUAL CHILE S.A. ADMINISTRADORA GENERAL DE FONDOS",Vigente
76435792-2,"CAPITAL ADVISORS ADMINISTRADORA GENERAL DE FONDOS S.A.",Vigente
96601710-4,"CIMENTA S.A. ADMINISTRADORA GENERAL DE FONDOS",Vigente
96690790-8,"CMB-PRIME ADMINISTRADORA GENERAL DE FONDOS S.A.",Vigente
99549940-1,"CREDICORP CAPITAL ASSET MANAGEMENT S.A. ADMINISTRADORA GENERAL DE FONDOS",Vigente
76507811-3,"FALCOM ADMINISTRADORA GENERAL DE FONDOS S.A.",Vigente
76336511-5,"FINASSET ADMINISTRADORA GENERAL DE FONDOS S.A.",Vigente
76810627-4,"FINTUAL ADMINISTRADORA GENERAL DE FONDOS S.A.",Vigente
76543031-3,"FRONTAL TRUST ADMINISTRADORA GENERAL DE FONDOS S.A.",Vigente
76071197-7,"FYNSA ADMINISTRADORA GENERAL DE FONDOS S.A.",Vigente
76034728-0,"HMC S.A. ADMINISTRADORA GENERAL DE FONDOS",Vigente
96753330-0,"INDEPENDENCIA ADMINISTRADORA GENERAL DE FONDOS S.A.",Vigente
76800115-4,"INDEPENDENCIA INTERNACIONAL ADMINISTRADORA GENERAL DE FONDOS S.A.",Vigente
96939000-0,"INVERLINK ADMINISTRADORA GENERAL DE FONDOS S.A.",Vigente
76551925-K,"INVINSA ADMINISTRADORA GENERAL DE FONDOS S.A.",Vigente
96980650-9,"ITAU ADMINISTRADORA GENERAL DE FONDOS S.A.",Vigente
76503272-5,"LAB CAPITAL ADMINISTRADORA GENERAL DE FONDOS S.A.",Vigente
76081215-3,"LARRAIN VIAL ACTIVOS S.A. ADMINISTRADORA GENERAL DE FONDOS",Vigente
96955500-K,"LARRAINVIAL ASSET MANAGEMENT ADMINISTRADORA GENERAL DE FONDOS S.A.",Vigente
76963034-1,"LINK CAPITAL PARTNERS ADMINISTRADORA GENERAL DE FONDOS S.A.",Vigente
99543100-9,"MBI ADMINISTRADORA GENERAL DE FONDOS S.A.",Vigente
96684990-8,"MONEDA PATRIA S.A. ADMINISTRADORA GENERAL DE FONDOS",Vigente
76122579-0,"NEORENTAS S.A. ADMINISTRADORA GENERAL DE FONDOS",Vigente
77704838-4,"NVS ADMINISTRADORA GENERAL DE FONDOS S.A.",Vigente
96632170-9,"PENTA LAS AMERICAS ADMINISTRADORA GENERAL DE FONDOS S.A.",Vigente
76202136-6,"PICTON ADMINISTRADORA GENERAL DE FONDOS S.A.",Vigente
91999000-7,"PRINCIPAL ASSET MANAGEMENT ADMINISTRADORA GENERAL DE FONDOS S.A.",Vigente
77244875-9,"PRUDENTIAL ADMINISTRADORA GENERAL DE FONDOS S.A.",Vigente
76798260-7,"QUEST ADMINISTRADORA GENERAL DE FONDOS S.A.",Vigente
96667040-1,"SANTANDER ASSET MANAGEMENT S.A. ADMINISTRADORA GENERAL DE FONDOS",Vigente
76576607-9,"SARTOR ADMINISTRADORA GENERAL DE FONDOS S.A.",Vigente
96634320-6,"SCOTIA ADMINISTRADORA GENERAL DE FONDOS CHILE S.A.",Vigente
76173632-9,"SENSOR CAPITAL S.A. ADMINISTRADORA GENERAL DE FONDOS",Vigente
77677124-4,"SIGMA ADMINISTRADORA GENERAL DE FONDOS S.A.",Vigente
76917333-1,"SINGULAR ASSET MANAGEMENT ADMINISTRADORA GENERAL DE FONDOS S.A.",Vigente
77057272-K,"SOYFOCUS ADMINISTRADORA GENERAL DE FONDOS S.A.",Vigente
76620928-9,"TAURUS ADMINISTRADORA GENERAL DE FONDOS S.A.",Vigente
96576660-k,"TOESCA S.A. ADMINISTRADORA GENERAL DE FONDOS",Vigente
76930595-5,"VANTRUST CAPITAL ADMINISTRADORA GENERAL DE FONDOS S.A.",Vigente
76429904-3,"VENTURANCE S.A. ADMINISTRADORA GENERAL DE FONDOS",Vigente
96804330-7,"VINCI COMPASS S.A. ADMINISTRADORA GENERAL DE FONDOS",Vigente
76493189-0,"VOLCOMCAPITAL ADMINISTRADORA GENERAL DE FONDOS S.A.",Vigente
76579033-6,"XLC ADMINISTRADORA GENERAL DE FONDOS S.A.",Vigente
77750920-9,"ZURICH CHILE ASSET MANAGEMENT ADMINISTRADORA GENERAL DE FONDOS S.A.",Vigente
